Location,Scale,Shape
5.06990362981798,-2.48794947160705,-2.40358056191846
5.07772578599273,-2.49433539111853,-2.3586634584017
5.08437166698815,-2.50986593597621,-2.34881662203119
5.03980835260076,-2.29763063118232,-2.24493955998165
5.08178041965259,-2.35330688990981,-2.29982254434378
5.10613337761912,-2.50002809400139,-2.42656740041321
5.06063176593576,-2.30743253371233,-2.30582538247473
5.0587418410583,-2.30414280650773,-2.30587634473066
5.01401543408852,-2.09155039278658,-2.17748850102031
5.06992298020925,-2.00515626830489,-2.15338715572624
4.98683194754458,-1.94692890452363,-2.02761357302161
4.99620335662036,-1.98384955948678,-2.05830188654724
5.00174861109167,-1.99288982457271,-1.98628602974544
4.97220971688203,-1.88983737358327,-1.8196526208213
5.02692406676298,-1.8462291535812,-1.71317327382697
5.07069015104636,-1.8882157366938,-1.64503569850672
5.11078425043267,-1.87908410242876,-1.69945774554948
5.15781704467892,-1.90200542506958,-1.75344432940841
5.13980393498498,-1.8286084667441,-1.57171754266007
5.13970658412213,-1.82457308873428,-1.62678137002733
5.12458409630452,-1.70335748569877,-1.39896836839197
5.14895919793665,-1.70591024462011,-1.23413787581607
5.13341467675956,-1.5327501145155,-1.0882917790514
5.17104746313255,-1.43991425625998,-0.835287757577776
5.16240502742554,-1.41146704386591,-0.623187220367077
5.20850663394107,-1.47691384791316,-0.513676826524375
5.29374460763687,-1.61023490700886,-0.636237229656551
5.25202197781655,-1.45658370383929,-0.325425443459291
5.21524462239643,-1.3739882907541,-0.267146897795366
5.24619879720612,-1.43447194601249,-0.165117417772106
5.33465747741513,-1.56886485836906,-0.30514712601217
5.26326120390932,-1.4446475340678,-0.206723129119556
5.29761425392767,-1.56564518881022,-0.467418533136921
5.41420061181849,-1.68334775404759,-0.618991549636146
5.41529846177586,-1.69208185439319,-0.586039371917266
5.45473271696717,-1.6668157319733,-0.638407345632529
5.41182802789942,-1.47287765715325,-0.316528301107825
5.42197843751834,-1.62379067434601,-0.622995719745102
5.41944184635677,-1.61057372611778,-0.652732193887632
5.36275554886769,-1.51918017796267,-0.566289791528472
5.42584939485806,-1.49637484104028,-0.425331346627803
5.31064020098031,-1.41228476240504,-0.239291017315492
5.33718057625997,-1.55076546892366,-0.475329874452848
5.34319433036413,-1.56407675315222,-0.483301132349101
5.3394300417545,-1.66693295188162,-0.761978358246998
5.3180255106539,-1.66952353868332,-0.730233543144227
5.31387157368701,-1.65749149743815,-0.704543050803769
5.24194115048563,-1.62413074122651,-0.594565713378883
5.18608813685583,-1.58658746141805,-0.719485843777884
5.16162587723589,-1.53132156619733,-0.849769923848759
5.16288977485777,-1.6449004698607,-1.14594066879803
5.09528991584738,-1.62750017549904,-1.03305649001873
5.12366653148058,-1.72804778298718,-1.19069155536824
5.15192636534047,-1.83875536100671,-1.37886871596473
5.13264633656893,-1.79103271399528,-1.46634953407354
5.30204560636858,-2.06050501243484,-1.76802542269573
5.28550767584631,-2.00481137752675,-1.62044983577169
5.28744286987191,-2.07755582185447,-1.8102188106417
5.26968387353887,-2.09249956849359,-1.95739311805666
5.26999422629689,-2.09333874547666,-1.95661381611417
5.2614790393834,-2.04227516330954,-1.93346416832241
5.28661430015864,-2.1326023373758,-2.05471111244132
5.32537532741618,-2.28463012432799,-2.21365187515887
5.30799690620094,-2.24849004418563,-2.22538186883822
5.3019357635165,-2.41541834956681,-2.24723050826628
5.31954800483165,-2.48302968896075,-2.29794913900583
5.34527282842549,-2.58603268392975,-2.36931020438758
5.30501143868544,-2.41292223778773,-2.24558930565445
5.21393737869608,-2.43103318093174,-2.22742055266744
5.24755270244247,-2.48177131161967,-2.20810733522986
5.27544149150062,-2.68073362151004,-2.28469994184182
5.27217904977695,-2.66333056125007,-2.279481539473
5.27634472301327,-2.6782322787937,-2.29559389164583
5.29917942362653,-2.71937771206047,-2.26473697504898
5.29650065108382,-2.85846055541534,-2.34690663936731
5.3384648314771,-2.89714837166829,-2.33099262814747
5.37154535527583,-2.93740827167916,-2.30741989305805
5.38341616258137,-2.96520387054431,-2.29019504136679
5.38764207580098,-2.96273092599128,-2.25264373381334
5.39472925160468,-3.1063378144298,-2.28348154757202
5.400411547413,-3.14542377190328,-2.29051679020336
